,name,href
0,Kate Erbland,https://www.metacritic.com/critic/kate-erbland
1,Christian Zilko,https://www.metacritic.com/critic/christian-zilko
2,Jude Dry,https://www.metacritic.com/critic/jude-dry
3,David Ehrlich,https://www.metacritic.com/critic/david-ehrlich
4,Samantha Bergeson,https://www.metacritic.com/critic/samantha-bergeson
5,Ryan Lattanzio,https://www.metacritic.com/critic/ryan-lattanzio
6,Leila Latif,https://www.metacritic.com/critic/leila-latif
7,Rafael Motamayor,https://www.metacritic.com/critic/rafael-motamayor
8,Eric Kohn,https://www.metacritic.com/critic/eric-kohn
9,Marisa Mirabal,https://www.metacritic.com/critic/marisa-mirabal
10,Christian Blauvelt,https://www.metacritic.com/critic/christian-blauvelt
11,Steph Green,https://www.metacritic.com/critic/steph-green
12,Katie Rife,https://www.metacritic.com/critic/katie-rife
13,Ben Croll,https://www.metacritic.com/critic/ben-croll
14,Steve Greene,https://www.metacritic.com/critic/steve-greene
15,Emma Stefansky,https://www.metacritic.com/critic/emma-stefansky
16,Carlos Aguilar,https://www.metacritic.com/critic/carlos-aguilar
17,Robert Daniels,https://www.metacritic.com/critic/robert-daniels
18,Ella Kemp,https://www.metacritic.com/critic/ella-kemp
19,Vikram Murthi,https://www.metacritic.com/critic/vikram-murthi
20,Siddhant Adlakha,https://www.metacritic.com/critic/siddhant-adlakha
21,Jourdain Searles,https://www.metacritic.com/critic/jourdain-searles
22,Sophie Monks Kaufman,https://www.metacritic.com/critic/sophie-monks-kaufman
23,Susannah Gruder,https://www.metacritic.com/critic/susannah-gruder
24,Proma Khosla,https://www.metacritic.com/critic/proma-khosla
25,Natalia Winkelman,https://www.metacritic.com/critic/natalia-winkelman
26,Nicholas Barber,https://www.metacritic.com/critic/nicholas-barber
27,Kristen Lopez,https://www.metacritic.com/critic/kristen-lopez
28,Tambay Obenson,https://www.metacritic.com/critic/tambay-obenson
29,Amy Nicholson,https://www.metacritic.com/critic/amy-nicholson
30,Courtney Howard,https://www.metacritic.com/critic/courtney-howard
31,Christina Newland,https://www.metacritic.com/critic/christina-newland
32,Jessica Kiang,https://www.metacritic.com/critic/jessica-kiang
33,Tina Hassannia,https://www.metacritic.com/critic/tina-hassannia
34,Ben Travers,https://www.metacritic.com/critic/ben-travers
35,Mike McCahill,https://www.metacritic.com/critic/mike-mccahill
36,Jamie Righetti,https://www.metacritic.com/critic/jamie-righetti
37,Hanh Nguyen,https://www.metacritic.com/critic/hanh-nguyen
38,Michael Nordine,https://www.metacritic.com/critic/michael-nordine
39,Liz Shannon Miller,https://www.metacritic.com/critic/liz-shannon-miller
40,Anisha Jhaveri,https://www.metacritic.com/critic/anisha-jhaveri
41,Matt Zoller Seitz,https://www.metacritic.com/critic/matt-zoller-seitz
42,Nick Allen,https://www.metacritic.com/critic/nick-allen
43,Sheila O'Malley,https://www.metacritic.com/critic/sheila-omalley
44,Glenn Kenny,https://www.metacritic.com/critic/glenn-kenny
45,Peyton Robinson,https://www.metacritic.com/critic/peyton-robinson
46,Brian Tallerico,https://www.metacritic.com/critic/brian-tallerico
47,Monica Castillo,https://www.metacritic.com/critic/monica-castillo
48,Christy Lemire,https://www.metacritic.com/critic/christy-lemire
49,Simon Abrams,https://www.metacritic.com/critic/simon-abrams
50,Peter Sobczynski,https://www.metacritic.com/critic/peter-sobczynski
51,Nell Minow,https://www.metacritic.com/critic/nell-minow
52,Marya E. Gates,https://www.metacritic.com/critic/marya-e-gates
53,Katie Rife,https://www.metacritic.com/critic/katie-rife
